tiempo,es_diurno,azimut_deg,elevacion_deg,phi_newton_rad,beta_newton_rad,error_newton_deg,iter_newton,ok_newton,motivo_newton,phi_grad_rad,beta_grad_rad,error_grad_deg,iter_grad,ok_grad,motivo_grad,alpha_grad
2026-02-03T06:40:00-05:00,True,106.45226312828588,3.240304059668027,1.5118334310980504,0.28667407114640087,0.0,4,True,norma(F) < eps_f,1.5119354103438347,0.28667966079207186,0.005613664632724166,19,True,OK,0.45
2026-02-03T06:41:00-05:00,True,106.45514925712803,3.4698766013716966,1.5076558875901758,0.2866551059645147,0.0,4,True,norma(F) < eps_f,1.5077584611717922,0.28666079009606604,0.0056466158892987985,19,True,OK,0.45
2026-02-03T06:42:00-05:00,True,106.45833332286811,3.700238307942802,1.5034639370683143,0.2866363090076743,0.0,4,True,norma(F) < eps_f,1.503567111653588,0.28664208903836363,0.005679940088819706,19,True,OK,0.45
2026-02-03T06:43:00-05:00,True,106.46181564553694,3.9313069939823837,1.4992590683878169,0.2866176601193884,0.0,4,True,norma(F) < eps_f,1.499362850507862,0.28662353745359526,0.005713629685211155,19,True,OK,0.45
2026-02-03T06:44:00-05:00,True,106.4655965778425,4.163010750367803,1.495042583389771,0.28659914206803766,0.0,4,True,norma(F) < eps_f,1.4951469794648444,0.28660511810429945,0.005747678633700164,19,True,OK,0.45
2026-02-03T06:45:00-05:00,True,106.46967649634382,4.395286061456716,1.4908156311621417,0.286580740111426,0.0,4,True,norma(F) < eps_f,1.4909206475221826,0.28658681624577076,0.005782082161775239,19,True,OK,0.45
2026-02-03T06:46:00-05:00,True,106.47405580371226,4.628076848201661,1.4865792254517014,0.28656244159280564,0.0,4,True,norma(F) < eps_f,1.4866848683537652,0.28656861922238264,0.005816836296286315,19,True,OK,0.45
2026-02-03T06:47:00-05:00,True,106.47873492879795,4.861333499458719,1.4823342622907547,0.28654423561457365,0.0,4,True,norma(F) < eps_f,1.4824405379376415,0.2865505161371018,0.00585193809146829,19,True,OK,0.45
2026-02-03T06:48:00-05:00,True,106.48371432676132,5.095012034175726,1.4780815352422518,0.28652611276757545,0.0,4,True,norma(F) < eps_f,1.4781884497940538,0.2865324975854511,0.005887385600366441,19,True,OK,0.45
2026-02-03T06:49:00-05:00,True,106.48899447896045,5.329073372493018,1.4738217486629992,0.2865080649037124,0.0,4,True,norma(F) < eps_f,1.4739293082513543,0.28651455542569315,0.005923177046466514,19,True,OK,0.45
2026-02-03T06:50:00-05:00,True,106.49457589368929,5.563482712731643,1.469555529039654,0.28649008495773637,0.0,4,True,norma(F) < eps_f,1.469663739777916,0.28649668260147254,0.005959311614719076,19,True,OK,0.45
2026-02-03T06:51:00-05:00,True,106.5004591053701,5.798208987812515,1.4652834348799852,0.28647216677585524,0.0,4,True,norma(F) < eps_f,1.4653923028734859,0.2864788729677048,0.005995789180163051,19,True,OK,0.45
2026-02-03T06:52:00-05:00,True,106.50664467526711,6.0332244003175015,1.4610059651723108,0.28645430499397334,0.0,4,True,norma(F) < eps_f,1.4611154965274151,0.28646112117042266,0.006032609683171539,19,True,OK,0.45
2026-02-03T06:53:00-05:00,True,106.51313319148136,6.268504021135682,1.4567235666882454,0.2864364949241583,0.0,4,True,norma(F) < eps_f,1.4568337675198162,0.28644342253461574,0.0060697738480725415,19,True,OK,0.45
2026-02-03T06:54:00-05:00,True,106.51992526900554,6.504025438880449,1.4524366403614404,0.28641873246148086,0.0,4,True,norma(F) < eps_f,1.4525475167997142,0.2864257729675579,0.006107282681692696,19,True,OK,0.45
2026-02-03T06:55:00-05:00,True,106.52702154991687,6.7397684605297385,1.4481455467341846,0.28640101400517154,0.0,4,True,norma(F) < eps_f,1.4482571049309323,0.2864081688836173,0.00614513734563187,19,True,OK,0.45
2026-02-03T06:56:00-05:00,True,106.53442270870003,6.975715008595219,1.4438506078266595,0.2863833363818491,0.0,4,True,norma(F) < eps_f,1.4439628539623657,0.2863906071245703,0.00618333974035031,19,True,OK,0.45
2026-02-03T06:57:00-05:00,True,106.54212943154899,7.211848258756229,1.43955212283292,0.2863656968239877,0.0,4,True,norma(F) < eps_f,1.439665063120156,0.2863730849386181,0.006221891544387017,19,True,OK,0.45
2026-02-03T06:58:00-05:00,True,106.55014244789618,7.448153398175111,1.4352503543142394,0.2863480928739573,0.0,4,True,norma(F) < eps_f,1.4353639950032449,0.2863555998859624,0.006260795326258553,19,True,OK,0.45
2026-02-03T06:59:00-05:00,True,106.55846250927692,7.684616813716182,1.430945542974853,0.28633052236586903,0.0,4,True,norma(F) < eps_f,1.4310598903565523,0.2863381498180717,0.006300053127372185,19,True,OK,0.45
2026-02-03T07:00:00-05:00,True,106.56709039518262,7.92122610393242,1.4266379074414886,0.286312983389851,0.0,4,True,norma(F) < eps_f,1.4267529678546627,0.28632073284370896,0.006339667856812864,19,True,OK,0.45
2026-02-03T07:01:00-05:00,True,106.57602691305283,8.157969946758282,1.4223276466701003,0.28629547425883317,0.0,4,True,norma(F) < eps_f,1.4224434265036345,0.2863033472954579,0.006379642406083635,19,True,OK,0.45
2026-02-03T07:02:00-05:00,True,106.58527289843308,8.394837983839734,1.4180149420497425,0.28627799348207433,0.0,4,True,norma(F) < eps_f,1.4181314477440825,0.28628599170374414,0.006419979761574807,19,True,OK,0.45
2026-02-03T07:03:00-05:00,True,106.5948292152045,8.631820720979384,1.413699959213151,0.28626053974179355,0.0,4,True,norma(F) < eps_f,1.4138171972664653,0.28626866476935686,0.006460683394847143,19,True,OK,0.45
2026-02-03T07:04:00-05:00,True,106.60469676255326,8.868909595816444,1.409382846802124,0.28624311186426526,0.0,4,True,norma(F) < eps_f,1.4095008237730857,0.28625136534246587,0.006501756741126873,19,True,OK,0.45
2026-02-03T07:05:00-05:00,True,106.61487644791028,9.106096263109203,1.4050637494803297,0.28622570883945364,0.0,4,True,norma(F) < eps_f,1.405182471988426,0.28623409243411224,0.006543203142802666,19,True,OK,0.45
